Commodity,Country Of Destination,Year,Quantity,FOB,source_file
Activated Carbon,Singapore,2024,97113.8,220094.0,PhilippineExports(2024-2025).csv
Activated Carbon,Singapore,2025,85815.4,248091.0,PhilippineExports(2024-2025).csv
Activated Carbon,Slovenia,2021,132585.0,305452.0,PhilippineExports(2020-2021).csv
Activated Carbon,Slovenia,2024,43577.0,64900.0,PhilippineExports(2024-2025).csv
Activated Carbon,"South Africa, Rep. Of",2021,917891.66,1952650.0,PhilippineExports(2020-2021).csv
Activated Carbon,"South Africa, Rep. Of",2022,534061.58,1194207.0,PhilippineExports(2022-2023).csv
Activated Carbon,"South Africa, Rep. Of",2023,425383.4,761636.0,PhilippineExports(2022-2023).csv
Activated Carbon,"South Africa, Rep. Of",2024,600287.0,1008371.0,PhilippineExports(2024-2025).csv
Activated Carbon,"South Africa, Rep. Of",2025,743950.0,1818248.0,PhilippineExports(2024-2025).csv
Activated Carbon,Spain,2021,58394.12,74070.0,PhilippineExports(2020-2021).csv
Activated Carbon,Spain,2022,41105.03,47124.0,PhilippineExports(2022-2023).csv
Activated Carbon,Spain,2023,354872.47,453454.0,PhilippineExports(2022-2023).csv
Activated Carbon,Spain,2024,293454.0,341041.0,PhilippineExports(2024-2025).csv
Activated Carbon,Spain,2025,87154.0,121885.0,PhilippineExports(2024-2025).csv
Activated Carbon,Sri Lanka  (Ceylon),2021,6745154.86,11414221.0,PhilippineExports(2020-2021).csv
Activated Carbon,Sri Lanka  (Ceylon),2022,3137429.69,5689817.0,PhilippineExports(2022-2023).csv
Activated Carbon,Sri Lanka  (Ceylon),2023,1410923.58,2314035.0,PhilippineExports(2022-2023).csv
Activated Carbon,Sri Lanka  (Ceylon),2024,3504557.0,5330530.0,PhilippineExports(2024-2025).csv
Activated Carbon,Sri Lanka  (Ceylon),2025,2794400.0,5645110.0,PhilippineExports(2024-2025).csv
Activated Carbon,Sudan,2024,20710.0,33600.0,PhilippineExports(2024-2025).csv
Activated Carbon,Suriname,2021,41516.64,93093.0,PhilippineExports(2020-2021).csv
Activated Carbon,Sweden,2021,449857.27,308030.0,PhilippineExports(2020-2021).csv
Activated Carbon,Sweden,2022,698780.42,483291.0,PhilippineExports(2022-2023).csv
Activated Carbon,Sweden,2023,325052.39,277424.0,PhilippineExports(2022-2023).csv
Activated Carbon,Sweden,2024,353210.0,335061.0,PhilippineExports(2024-2025).csv
Activated Carbon,Sweden,2025,267300.0,276812.0,PhilippineExports(2024-2025).csv
Activated Carbon,Switzerland,2021,72000.0,397099.0,PhilippineExports(2020-2021).csv
Activated Carbon,Switzerland,2022,200234.45,1133360.0,PhilippineExports(2022-2023).csv
Activated Carbon,Switzerland,2024,120900.0,578486.0,PhilippineExports(2024-2025).csv
Activated Carbon,Switzerland,2025,65100.0,259018.0,PhilippineExports(2024-2025).csv
Activated Carbon,Taiwan (Rep. Of China),2021,4062980.34,5857698.0,PhilippineExports(2020-2021).csv
Activated Carbon,Taiwan (Rep. Of China),2022,4946006.06,7576907.0,PhilippineExports(2022-2023).csv
Activated Carbon,Taiwan (Rep. Of China),2023,5482807.56,8177619.0,PhilippineExports(2022-2023).csv
Activated Carbon,Taiwan (Rep. Of China),2024,138367728.0,8240220.0,PhilippineExports(2024-2025).csv
Activated Carbon,Taiwan (Rep. Of China),2025,5027902.6,7516778.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Tanzania, United Rep. Of",2021,171593.04,380300.0,PhilippineExports(2020-2021).csv
Activated Carbon,"Tanzania, United Rep. Of",2022,126498.8,313040.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Tanzania, United Rep. Of",2023,90000.0,177296.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Tanzania, United Rep. Of",2024,78650.0,140582.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Tanzania, United Rep. Of",2025,214594.0,406600.0,PhilippineExports(2024-2025).csv
Activated Carbon,Thailand,2021,160457.54,294780.0,PhilippineExports(2020-2021).csv
Activated Carbon,Thailand,2022,529524.4,927719.0,PhilippineExports(2022-2023).csv
Activated Carbon,Thailand,2023,121000.0,135520.0,PhilippineExports(2022-2023).csv
Activated Carbon,Thailand,2024,105376.0,151466.0,PhilippineExports(2024-2025).csv
Activated Carbon,Thailand,2025,295172.0,475365.0,PhilippineExports(2024-2025).csv
Activated Carbon,Togo,2021,194257.01,414500.0,PhilippineExports(2020-2021).csv
Activated Carbon,Turkey,2021,304825.04,619439.0,PhilippineExports(2020-2021).csv
